178,8339
358,22268
537,28232
716,38482
895,45794
1074,54590
1253,64034
1432,72686
1611,81277
1790,92277
1969,97931
2148,106301
2327,118281
2506,127627
2685,132398
2874,149824
3053,154575
3232,167010
3411,173936
3590,181619
3769,193185
3948,199550
4127,208015
4306,222743
4461,229963
